Coworking,Zona,Direccion,Contacto (web/IG),Prioridad,Estado,Notas
Belephant,Nuñez/Belgrano,Av. del Libertador 6680 y 6343,belephant.co / IG @belephant.co,1-Tu zona,Por contactar,Cerca de Colegiales
Ronda Coworking,Belgrano,Ciudad de la Paz 1042,rondacoworking.com/belgrano / IG @rondacoworking,1-Tu zona,Por contactar,
La Maquinita (Nuñez),Nuñez,Nuñez,lamaquinita.co / IG @lamaquinita.co,1-Tu zona,Por contactar,Red mas grande del pais
Coreworks,Nuñez,Nuñez,IG @coreworks,1-Tu zona,Por contactar,Buscar mail en web
Join Coworking,Belgrano,Belgrano / Barrio Chino,IG @joincoworking,1-Tu zona,Por contactar,
Working & Co (Belgrano),Belgrano,Belgrano,workingand.co,1-Tu zona,Por contactar,7 sedes
Polo DOT,Saavedra,Au. Gral. Paz / Triunvirato,polodot.com.ar,1-Tu zona,Por contactar,Hub tech + eventos
AreaTres,Palermo Soho,Malabia 1720,areatres.com / IG @areatres,2-Palermo,Por contactar,Premium publico fit
Manawa Coworking,Palermo Soho,Nicaragua 4817,manawacoworking.com / IG @manawacoworking,2-Palermo,Por contactar,
La Maquinita,Palermo Soho/Hollywood,Niceto Vega / Godoy Cruz,lamaquinita.co,2-Palermo,Por contactar,
Huerta Dorrego,Palermo Hollywood,Av. Dorrego 2133,huertacoworking.com / IG @huertacoworking,2-Palermo,Por contactar,Nuevo
Huerta Humboldt,Palermo Hollywood,Humboldt 1967,huertacoworking.com,2-Palermo,Por contactar,Nuevo
Usina Cowork,Palermo,Castillo 1366,IG @usinacowork,2-Palermo,Por contactar,
Urban Station,Palermo y Microcentro,Palermo,urbanstation.co,2-Palermo,Por contactar,Ya ofrecen cafe+snacks buen fit
Hit Cowork,Palermo,Varias sedes,hitcowork.com,2-Palermo,Por contactar,
Working & Co,Palermo,Palermo,workingand.co,2-Palermo,Por contactar,
WeWork,Palermo,Varias,wework.com,2-Palermo,Por contactar,Form corporativo
Joy Cowork,Villa Crespo,Villa Crespo,IG @joycowork,3-Villa Crespo,Por contactar,
La Maquinita,Villa Crespo,Villa Crespo,lamaquinita.co,3-Villa Crespo,Por contactar,
Working & Co,Villa Crespo,Villa Crespo,workingand.co,3-Villa Crespo,Por contactar,
Urban Station Microcentro,Microcentro,Microcentro,urbanstation.co,4-Centro/Recoleta,Por contactar,Nuevo
Huerta Microcentro,Microcentro,Microcentro,huertacoworking.com,4-Centro/Recoleta,Por contactar,Nuevo
Ronda Coworking,Recoleta,Recoleta,rondacoworking.com / IG @rondacoworking,4-Centro/Recoleta,Por contactar,
Spaces / Regus,Microcentro,Microcentro,spacesworks.com / regus.com.ar,4-Centro/Recoleta,Por contactar,
WeWork,Microcentro,Microcentro,wework.com,4-Centro/Recoleta,Por contactar,
HQ Vicente Lopez,Zona Norte,Av. del Libertador 101 piso 10,hq.com / IG @hq.arg,5-Zona Norte,Por contactar,Nuevo
HQ Olivos,Zona Norte,Av. del Libertador 2442 piso 4,hq.com,5-Zona Norte,Por contactar,Nuevo
HQ San Isidro Las Lomas,Zona Norte,Magliano 3071,hq.com,5-Zona Norte,Por contactar,Nuevo
Urbana Vicente Lopez,Zona Norte,Centro comercial Vicente Lopez,urbanace.com.ar,5-Zona Norte,Por contactar,
Office Club,Zona Norte,Vicente Lopez,officeclub.com.ar,5-Zona Norte,Por contactar,
La Maquinita Libertador,Zona Norte,Vicente Lopez,lamaquinita.co/ubicaciones/libertador,5-Zona Norte,Por contactar,
WeWork Libertador 1000,Zona Norte,Vicente Lopez,wework.com,5-Zona Norte,Por contactar,
