Empresa,Categoria,Zona,Direccion,Contacto (web/IG),Prioridad,Estado,Notas
Belephant,Coworking,Nuñez/Belgrano,Av. del Libertador 6680 y 6343,belephant.co / IG @belephant.co,1-Tu zona,Por contactar,Cerca de Colegiales
Ronda Coworking,Coworking,Belgrano,Ciudad de la Paz 1042,rondacoworking.com/belgrano / IG @rondacoworking,1-Tu zona,Por contactar,
La Maquinita (Nuñez),Coworking,Nuñez,Nuñez,lamaquinita.co / IG @lamaquinita.co,1-Tu zona,Por contactar,Red mas grande del pais
Coreworks,Coworking,Nuñez,Nuñez,IG @coreworks,1-Tu zona,Por contactar,Buscar mail en web
Join Coworking,Coworking,Belgrano,Belgrano / Barrio Chino,IG @joincoworking,1-Tu zona,Por contactar,
Working & Co (Belgrano),Coworking,Belgrano,Belgrano,workingand.co,1-Tu zona,Por contactar,7 sedes
Polo DOT,Aceleradora/Hub,Saavedra,Au. Gral. Paz / Triunvirato,polodot.com.ar,1-Tu zona,Por contactar,Hub tech + eventos
AreaTres,Coworking,Palermo Soho,Malabia 1720,areatres.com / IG @areatres,2-Palermo,Por contactar,Premium publico fit
Manawa Coworking,Coworking,Palermo Soho,Nicaragua 4817,manawacoworking.com / IG @manawacoworking,2-Palermo,Por contactar,
La Maquinita,Coworking,Palermo Soho/Hollywood,Niceto Vega / Godoy Cruz,lamaquinita.co,2-Palermo,Por contactar,
Huerta Dorrego,Coworking,Palermo Hollywood,Av. Dorrego 2133,huertacoworking.com / IG @huertacoworking,2-Palermo,Por contactar,
Huerta Humboldt,Coworking,Palermo Hollywood,Humboldt 1967,huertacoworking.com,2-Palermo,Por contactar,
Usina Cowork,Coworking,Palermo,Castillo 1366,IG @usinacowork,2-Palermo,Por contactar,
Urban Station,Coworking,Palermo y Microcentro,Palermo,urbanstation.co,2-Palermo,Por contactar,Ya ofrecen cafe+snacks buen fit
Hit Cowork,Coworking,Palermo,Varias sedes,hitcowork.com,2-Palermo,Por contactar,
Working & Co,Coworking,Palermo,Palermo,workingand.co,2-Palermo,Por contactar,
WeWork,Coworking,Palermo,Varias,wework.com,2-Palermo,Por contactar,Form corporativo
Wayra (Telefonica),Aceleradora/Hub,Palermo Hollywood,Costa Rica 5546,wayra.com,2-Palermo,Por contactar,Eventos con catering
Joy Cowork,Coworking,Villa Crespo,Villa Crespo,IG @joycowork,3-Villa Crespo,Por contactar,
La Maquinita,Coworking,Villa Crespo,Villa Crespo,lamaquinita.co,3-Villa Crespo,Por contactar,
Working & Co,Coworking,Villa Crespo,Villa Crespo,workingand.co,3-Villa Crespo,Por contactar,
Urban Station Microcentro,Coworking,Microcentro,Microcentro,urbanstation.co,4-Centro/Recoleta,Por contactar,
Huerta Microcentro,Coworking,Microcentro,Microcentro,huertacoworking.com,4-Centro/Recoleta,Por contactar,
Ronda Coworking,Coworking,Recoleta,Recoleta,rondacoworking.com / IG @rondacoworking,4-Centro/Recoleta,Por contactar,
Spaces / Regus,Coworking,Microcentro,Microcentro,spacesworks.com / regus.com.ar,4-Centro/Recoleta,Por contactar,
WeWork,Coworking,Microcentro,Microcentro,wework.com,4-Centro/Recoleta,Por contactar,
HQ Vicente Lopez,Coworking,Zona Norte,Av. del Libertador 101 piso 10,hq.com / IG @hq.arg,5-Zona Norte,Por contactar,
HQ Olivos,Coworking,Zona Norte,Av. del Libertador 2442 piso 4,hq.com,5-Zona Norte,Por contactar,
HQ San Isidro Las Lomas,Coworking,Zona Norte,Magliano 3071,hq.com,5-Zona Norte,Por contactar,
Urbana Vicente Lopez,Coworking,Zona Norte,Centro comercial Vicente Lopez,urbanace.com.ar,5-Zona Norte,Por contactar,
Office Club,Coworking,Zona Norte,Vicente Lopez,officeclub.com.ar,5-Zona Norte,Por contactar,
La Maquinita Libertador,Coworking,Zona Norte,Vicente Lopez,lamaquinita.co/ubicaciones/libertador,5-Zona Norte,Por contactar,
WeWork Libertador 1000,Coworking,Zona Norte,Vicente Lopez,wework.com,5-Zona Norte,Por contactar,
Oficina Burman,Productora,Colegiales,Av. Alvarez Thomas 198 2º,oficinaburman.com / tel 011 4554-5182,6-Empresas directas,Por contactar,Cerca tuyo - grande (Grupo Mediapro)
Depende Comunicacion,Productora,Colegiales,Colegiales,Buscar IG @depende (manual),6-Empresas directas,Por contactar,Distrito Audiovisual cerca tuyo
Primo Audiovisual,Productora,Palermo,Palermo,primocontent.com / IG @primocontent,6-Empresas directas,Por contactar,Grande - mejor para eventos
Turbo Trueno,Productora,Palermo,Palermo,turbotrueno.tv / buscar IG (manual),6-Empresas directas,Por contactar,Julian Montesano
Romana,Productora,Palermo,Palermo,Buscar IG/web (manual),6-Empresas directas,Por contactar,
Grupo Mulata,Productora,Palermo,Palermo,Buscar IG/web (manual),6-Empresas directas,Por contactar,
Nunchaku,Productora,Chacarita,Chacarita,Buscar IG/web (manual),6-Empresas directas,Por contactar,
25P Films,Productora,Chacarita,Chacarita,Buscar IG/web (manual),6-Empresas directas,Por contactar,
Inland,Productora,Chacarita,Chacarita,Buscar IG/web (manual),6-Empresas directas,Por contactar,
Vasko,Productora,Chacarita,Chacarita,Buscar IG/web (manual),6-Empresas directas,Por contactar,
Krill,Productora,Chacarita,Chacarita,Buscar IG/web (manual),6-Empresas directas,Por contactar,
Cayo,Agencia,Palermo,Palermo,cayoagencia.com,6-Empresas directas,Por contactar,Marketing de moda
Pragmativa,Agencia,Palermo,Gorriti 6046 of 206,pragmativa.com / tel 011 5490-4112,6-Empresas directas,Por contactar,Agencia B2B
Libre,Agencia,Palermo,Palermo,Buscar IG/web (manual),6-Empresas directas,Por contactar,
Fly by Net,Agencia,Palermo,Palermo,flybynet.net,6-Empresas directas,Por contactar,
BDG,Agencia,CABA,CABA,bdg.com.ar,6-Empresas directas,Por contactar,Marketing y comunicacion
Axent,Agencia,CABA,CABA,Buscar IG/web (manual),6-Empresas directas,Por contactar,
DESANDA,Agencia,CABA,CABA,Buscar IG/web (manual),6-Empresas directas,Por contactar,
Nueva Comunicacion,Agencia,CABA,CABA,Buscar IG/web (manual),6-Empresas directas,Por contactar,
Polo IT Buenos Aires,Aceleradora/Hub,CABA,CABA,poloitbuenosaires.org.ar,6-Empresas directas,Por contactar,Nuclea empresas IT
